epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,7706.55,0.87378,1.29874,0.73323,1.03946,0,0.77624,0.62594,0.70394,0.48995,0.77624,0.62594,0.69495,0.46214,0.92308,1.52268,0.80915,1.07704,0,0.000775822,0.000775822,0.000775822
29,7990.73,0.86254,1.32455,0.76268,1.01545,0,0.76218,0.64881,0.71555,0.49215,0.7742,0.62656,0.71334,0.47359,0.9331,1.58121,0.82129,1.08408,0,0.000742815,0.000742815,0.000742815
30,8246.27,0.82242,1.20866,0.71305,0.99898,0,0.75893,0.67704,0.72471,0.49056,0.75026,0.67055,0.71647,0.46222,0.90522,1.55024,0.76785,1.06176,0,0.000709809,0.000709809,0.000709809
31,8499.21,0.80646,1.26381,0.73143,0.99066,0,0.65094,0.68113,0.6893,0.47248,0.62235,0.6641,0.65785,0.45424,0.91489,1.59845,0.81213,1.07514,0,0.000676802,0.000676802,0.000676802
32,8793.57,0.83803,1.24401,0.72242,1.01583,0,0.74268,0.68931,0.69891,0.47903,0.75612,0.7047,0.71038,0.47234,0.90967,1.58626,0.76425,1.06093,0,0.000643795,0.000643795,0.000643795
33,9060,0.84882,1.2231,0.75424,1.03124,0,0.73786,0.67508,0.70505,0.49124,0.73905,0.67393,0.70053,0.45354,0.8827,1.52841,0.74198,1.06023,0,0.000610789,0.000610789,0.000610789
34,9326.56,0.81071,1.26047,0.71764,1.00943,0,0.62917,0.73991,0.69426,0.49082,0.61968,0.73861,0.67911,0.47202,0.90448,1.66739,0.75186,1.06359,0,0.000577782,0.000577782,0.000577782
35,9580.21,0.76151,1.10747,0.63309,0.99776,0,0.77782,0.71095,0.73831,0.50875,0.73058,0.68629,0.69931,0.46059,0.89109,1.71267,0.74569,1.05542,0,0.000544776,0.000544776,0.000544776
36,9837.77,0.76951,1.19515,0.64887,0.98138,0,0.74675,0.72274,0.73899,0.51777,0.73987,0.71747,0.73686,0.4797,0.89493,1.71278,0.73868,1.06068,0,0.000511769,0.000511769,0.000511769
37,10096.7,0.77302,1.10905,0.64305,0.98324,0,0.75802,0.69893,0.73001,0.52077,0.76044,0.70133,0.7331,0.48716,0.8964,1.69157,0.71732,1.04971,0,0.000478762,0.000478762,0.000478762
38,10355.2,0.7563,1.19071,0.6375,0.98431,0,0.81117,0.66298,0.72151,0.51347,0.73581,0.64069,0.68324,0.47149,0.88629,1.65638,0.72483,1.04652,0,0.000445756,0.000445756,0.000445756
39,10613.7,0.76895,1.19955,0.65723,0.98137,0,0.77935,0.68845,0.72152,0.51135,0.7528,0.68185,0.7054,0.49249,0.87288,1.66728,0.69781,1.03532,0,0.000412749,0.000412749,0.000412749
40,10873,0.73512,1.19782,0.63312,0.96192,0,0.73832,0.75231,0.74831,0.5263,0.72507,0.74413,0.73486,0.49663,0.87512,1.61163,0.70077,1.03849,0,0.000379743,0.000379743,0.000379743
41,11128.9,0.72156,1.0836,0.60606,0.9613,0,0.83221,0.71525,0.75893,0.53661,0.81754,0.7049,0.73906,0.4932,0.8767,1.58232,0.68747,1.04786,0,0.000346736,0.000346736,0.000346736
42,11381.6,0.74201,1.0528,0.58082,0.98023,0,0.79788,0.68195,0.73662,0.51845,0.78881,0.67632,0.72811,0.47569,0.88027,1.63354,0.70868,1.05162,0,0.000313729,0.000313729,0.000313729
43,11651.7,0.71739,1.03112,0.58779,0.95045,0,0.78735,0.7112,0.74687,0.52696,0.77747,0.7047,0.73498,0.48804,0.86567,1.63472,0.67743,1.04089,0,0.000280723,0.000280723,0.000280723
44,12174.9,0.69384,1.00461,0.54226,0.94531,0,0.79204,0.67561,0.7465,0.52178,0.7787,0.66566,0.74042,0.49069,0.86974,1.61639,0.69331,1.05252,0,0.000247716,0.000247716,0.000247716
45,12436.3,0.69831,0.98056,0.54907,0.95611,0,0.8247,0.66743,0.74948,0.52109,0.81503,0.66093,0.7404,0.49457,0.87893,1.60186,0.7027,1.05291,0,0.00021471,0.00021471,0.00021471
46,12708.3,0.68899,0.97679,0.5481,0.93945,0,0.72548,0.70812,0.70718,0.49957,0.72496,0.69737,0.6957,0.47393,0.87589,1.64507,0.71031,1.04174,0,0.000181703,0.000181703,0.000181703
47,12952.1,0.65597,1.00149,0.5076,0.95232,0,0.80984,0.68776,0.74175,0.52786,0.78803,0.6713,0.71971,0.49239,0.83938,1.6678,0.6945,1.01922,0,0.000148696,0.000148696,0.000148696
48,13193,0.65347,0.95095,0.52212,0.92661,0,0.80932,0.6934,0.75159,0.53014,0.78419,0.67392,0.72373,0.49459,0.84452,1.63813,0.67813,1.03393,0,0.00011569,0.00011569,0.00011569
49,13436.6,0.67159,0.97745,0.52069,0.9436,0,0.79008,0.68995,0.73481,0.52223,0.78986,0.67746,0.74031,0.48622,0.84534,1.63786,0.67844,1.03406,0,8.26832e-05,8.26832e-05,8.26832e-05
50,13682.7,0.65618,0.97809,0.51342,0.93319,0,0.80473,0.67363,0.73782,0.52246,0.81022,0.66262,0.73074,0.48794,0.84041,1.64549,0.6806,1.03316,0,4.96766e-05,4.96766e-05,4.96766e-05
